CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
445614610,6326,12000,14100,0.8973,12.5,648,9953,27676,R,S2,591,7,10,5,4,0,LLC,2,3,53,General Merchandise Stores,63783,144100,55781,OH,Loan Masters
27514003,137746,2.00E+05,238000,1.1575,10,16560,353007.44,380025,O,S4,678,20,16,11,0,8,LLC,4,0,47,Transportation Services,3002,178500,32441,FL,Loan Masters
214013609,14142,36000,43200,0.6547,12.5,3024,24332.66,32704,O,S3,571,6,4,0,0,1,LLC,7,0,57,Home Furniture and Furnishings Stores,23868,61000,30960,NJ,Credit Divas
424416295,18188,30000,35700,1.0189,12.5,3312,77871.34,77871.3333,R,S3,615,9,35,24,0,8,LLC,1,0,59,Miscellaneous Retail Stores,53472,146400,70846,GA,Credit Divas
30313853,2934,9600,11280,0.5202,12.5,777.6,8773.38,9162.33333,O,S2,447,2,37,22,5,16,S-Corp,1,0,56,Apparel and Accessory Stores,3431,323600,32716,MA,Loan Masters
272918722,2595,8000,9400,0.5521,12.5,648,7074.66,8709.5,O,S1,494,12,27,16,5,7,LLC,4,3,52,Building Materials and Hardware,29225,83300,31483,FL,Loan Masters
220416939,2597,9200,11408,0.4553,12.5,1361.6,6073.88,6074,O,S2,456,6,29,20,7,4,LLC,0,5,52,Building Materials and Hardware,24439,107900,34789,VA,Credit Divas
453417775,7776,13800,17112,0.9088,12.5,2144.52,8943.16,8943,O,S2,617,11,37,25,2,15,LLC,1,0,56,Apparel and Accessory Stores,74948,122900,28676,FL,Loan Masters
424310719,26188,53000,63070,0.8304,12.5,7314,41781.66,41781.6667,O,S4,610,2,7,1,0,0,LLC,5,0,51,Wholesale Trade-Nondurable Goods,53398,70100,18506,FL,Credit Divas
365812568,10526,14800,18130,1.1612,12.5,888,10067.96,10920.6,O,S2,614,2,47,25,0,0,S-Corp,1,0,75,Auto Repair Services and Parking,40288,65300,20333,GA,Loan Masters
189212404,11574,26000,30550,0.7577,10,1820,30900.66,35871,O,S3,550,8,22,5,6,6,LLC,5,0,58,Eating and Drinking Places,21619,150000,60765,NC,Loan Masters
180710812,7176,12000,14280,1.0050,17.5,1324.8,9038.94,8847,R,S2,515,23,38,26,2,9,S-Corp,0,0,58,Eating and Drinking Places,20921,69000,29913,SC,Credit Divas
126110096,37164,57000,67830,1.0958,12.5,7866,45005.8,50736,O,S4,682,3,43,24,0,1,LLC,1,0,54,Food Stores,15808,89400,50069,IL,Credit Divas
334812015,23055,44000,53900,0.8555,5,6699,97342,108000.5,R,S4,524,13,30,15,8,1,LLC,2,4,58,Eating and Drinking Places,35712,126300,18903,FL,Loan Masters
372911938,14289,30600,37500,0.7621,12.5,5105.54,24177.6,10191.1676,R,S3,629,13,28,22,2,3,LLC,1,1,58,Eating and Drinking Places,41383,129700,55378,MO,Credit Divas
254115334,69014,120000,141000,0.9789,12.5,12678.12,183866.86,183866.667,O,S4,715,10,11,4,0,1,LLC,0,0,58,Eating and Drinking Places,27420,113700,46128,KY,Loan Masters
302712970,4280,11600,13630,0.6280,12.5,313.2,16588,19765,R,S2,576,2,18,7,1,8,S-Corp,1,2,75,Auto Repair Services and Parking,32077,110200,36394,SC,Loan Masters
252414378,30219,56000,69440,0.8704,17.5,6630.4,49488,113422,R,S4,614,7,19,15,0,12,LLC,0,0,58,Eating and Drinking Places,27314,83800,31691,VA,Credit Divas
397911845,2720,8200,9758,0.5575,12.5,1216.46,6484.24,6484.4,O,S1,527,5,14,6,3,2,LLC,1,0,75,Auto Repair Services and Parking,45543,100100,54222,GA,Loan Masters
213119193,7934,12000,14280,1.1112,12.5,1324.8,17010,17010,R,S2,650,5,48,36,2,6,S-Corp,1,0,58,Eating and Drinking Places,23824,82900,35619,TN,Credit Divas
170615305,7319,12000,14280,1.0251,5,993.6,40516.88,40516.824,O,S2,634,6,30,6,4,3,LLC,2,0,75,Auto Repair Services and Parking,19969,91500,35365,IN,Loan Masters
73411998,12495,24000,28200,0.8862,12.5,480,38572.8,26633.6,R,S3,623,75,24,15,0,2,LLC,3,14,76,Miscellaneous Repair Services,9442,97400,33102,MA,Loan Masters
314412264,107210,176200,209678,1.0226,12.5,24315.6,138915.38,138915.5,O,S4,633,13,28,15,0,3,LLC,0,4,58,Eating and Drinking Places,33214,148900,54530,FL,Credit Divas
387013545,6079,17000,20400,0.5960,12.5,2796.5,13316.08,15360,O,S2,546,1,13,0,1,3,LLC,2,0,72,Personal Services,43875,145200,63639,FL,Loan Masters
155917604,78615,96800,120032,1.3099,12.5,14326.4,63719.9,71625.2428,O,S4,725,2,19,9,0,0,LLC,0,0,59,Miscellaneous Retail Stores,18402,142300,66284,NJ,Credit Divas
177019024,3392,5000,5875,1.1547,12.5,337.5,4848,6962,R,S1,397,5,13,0,7,3,S-Corp,0,0,72,Personal Services,20556,137600,51726,NJ,Loan Masters
82115639,79896,121800,151032,1.0580,12.5,18026.4,80166.66,80166.6667,O,S4,522,9,28,6,2,10,LLC,2,1,58,Eating and Drinking Places,10572,285500,80419,NY,Credit Divas
160619254,9475,22800,27930,0.6785,12.5,2588.6,18942.98,18943,O,S3,612,32,53,21,0,5,LLC,0,0,55,Automotive Dealers and Service Stations,18911,108800,42041,MI,Loan Masters
102015045,3123,5200,6110,1.0223,12.5,315.9,8488.48,4114,R,S1,429,5,12,3,17,19,S-Corp,0,1,59,Miscellaneous Retail Stores,13163,100400,33072,PA,Loan Masters
453317427,5858,8400,10300,1.1375,12.5,1342,6666,9142,R,S2,476,2,25,15,2,8,LLC,1,0,58,Eating and Drinking Places,74948,122900,28676,FL,Loan Masters
210015598,4941,11800,14900,0.6632,12.5,2748.6,12861.64,2340,R,S2,600,4,36,20,0,3,LLC,1,0,58,Eating and Drinking Places,23572,59900,20636,MD,Credit Divas
326319131,8842,17200,20468,0.8640,12.5,2373.6,14656.72,10641.203,O,S2,564,9,34,18,3,16,LLC,0,0,72,Personal Services,34753,95500,42875,GA,Credit Divas
225714000,5550,12400,14818,0.7491,12.5,1809.78,11246.66,18433.4545,O,S2,594,16,41,23,1,0,LLC,3,0,59,Miscellaneous Retail Stores,24929,64100,31534,IL,Loan Masters
79018098,2037,8000,9200,0.4428,12.5,416,11052.78,11053.9291,R,S1,535,2,10,2,6,0,LLC,4,9,58,Eating and Drinking Places,10178,153800,23562,OH,Credit Divas
304712463,1035,4000,4760,0.4349,12.5,552,6637.74,8907.42857,O,S1,564,1,13,8,5,5,LLC,0,5,58,Eating and Drinking Places,32346,205100,73553,NY,Credit Divas
290318474,3035,7600,9120,0.6656,12.5,456,7144.72,7145,O,S1,549,2,9,5,2,0,LLC,4,3,51,Wholesale Trade-Nondurable Goods,30903,164200,67946,WI,Loan Masters
317815254,8213,14000,16450,0.9985,12.5,1653.76,13018.04,16992.6667,O,S2,513,11,20,9,8,5,S-Corp,3,1,59,Miscellaneous Retail Stores,33624,127400,51708,FL,Loan Masters
102515405,3686,10800,12690,0.5809,12.5,648,9733.02,9732.83026,O,S2,508,2,55,23,1,11,LLC,4,0,56,Apparel and Accessory Stores,13191,84300,36031,FL,Loan Masters
270717134,4543,12890,15339,0.5923,10,1778.8,12716.66,12716,O,S2,498,2,8,0,2,2,S-Corp,1,0,50,Wholesale Trade-Durable Goods,28971,112400,41277,LA,Credit Divas
203319714,7546,22000,25850,0.5838,12.5,2079,19790.24,19790.6667,O,S3,495,10,20,7,7,11,LLC,1,2,59,Miscellaneous Retail Stores,22874,95700,38668,PA,Loan Masters
